m,i
0.582,0.0000086
0.532,0.0000028
0.574,0.00000111
0.593,0.00000227
0.548,0.00000002
0.54,0.00000012
0.964,0.00197296
0.509,0.00000006
0.476,0.00000001
0.638,0.00001261
0.587,0.00000003
0.633,0.00000218
0.508,0.00000001
0.548,0.00000003
0.508,0.00000003
0.579,0.00000018
0.553,0.00000006
0.534,0.00000674
0.592,0.00000007
0.509,0.00000006
0.528,0.00000002
0.525,0.00000008
0.553,0.00000006
0.508,0.00000002
0.518,0.00000003
0.54,0.00000012
0.531,0.00000002
0.509,0.00000006
0.529,0.0000001
0.533,0.0000001
0.534,0.00000096
0.549,0.00000145
0.523,0.00000004
0.585,0.00000006
0.546,0.00000136
0.592,0.00000003
0.531,0.00000143
0.541,0.0000001
0.544,0.00000012
0.521,0.00000001
0.515,0.00000006
0.552,0.00000005
0.577,0.00000012
0.534,0.00000674
0.466,-0.00000039
0.528,0.00000002
0.538,0.00000009
0.479,0.00000023
0.64,0.00001531
0.556,0.00000116
0.64,0.0000017
0.552,0.00000005
0.582,0.00000107
0.519,0.00000593
0.551,0.00000009
0.515,0.00000006
0.466,-0.0000001
0.536,0.0000001
0.488,0.00000055
0.508,0.00000002
0.476,0.00000001
0.581,0.00000011
0.568,0.00000012
0.561,0.00000002
0.568,0.00000912
0.579,0.00000018
0.541,0.0000001
0.46,-0.00001085
0.507,0.00000033
0.544,0.00000012
0.553,0.00000006
0.639,0.000003
0.594,0.00000003
0.583,0.00000004
0.535,0.00000885
0.703,0.0009497
0.536,0.00000008
0.569,0.00000006
0.561,0.00000002
0.53,0.00000009
0.528,0.0000001
0.568,0.00000002
0.531,0.00000002
0.616,0.0000094
0.554,0.00000007
0.547,0.00000127
0.57,0.00000012
0.505,0.00000005
0.559,0.00000007
0.589,0.00001003
0.616,0.00000836
0.58,0.00000004
0.549,0.00000129
0.556,0.00000003
0.523,0.00000095
0.616,0.00000418
0.552,0.00000005
0.577,0.00000019
0.628,0.00000337
0.518,0.00000003
0.543,0.00000053
0.491,0.00000099
0.577,0.00000019
0.534,0.00000037
0.573,0.00000014
0.497,0.0000004
0.544,0.00000012
0.549,0.00000004
0.544,0.00000002
0.541,0.0000001
0.523,0.00000002
0.596,0.00000434
0.592,0.00000007
0.528,0.00000002
0.55,0.00000012
0.574,0.00000278
0.508,0.00000002
0.547,0.00000011
0.519,0.00000007
0.534,0.00000867
0.517,0.00000322
0.523,0.00000004
0.534,0.00000385
0.571,0.00000543
0.535,0.00000002
0.553,0.00000006
0.585,0.00000006
0.54,0.00000006
0.556,0.00000003
0.547,0.00001142
0.556,0.00000233
0.516,0.00000001
0.477,0.00000023
0.585,0.00000015
0.571,0.00000091
0.544,0.00000748
0.477,0.00000014
0.592,0.00000017
0.544,0.00000332
0.528,0.00000002
0.535,0.00000002
0.546,0.0000017
0.509,0.00000006
0.576,0.00001265
0.604,0.00000323
0.568,0.00000152
0.539,0.00000006
0.57,0.00000012
0.562,0.00000013
0.568,0.00000007
0.539,0.00000012
0.594,0.00000003
0.528,0.00000002
0.548,0.00000003
0.51,0.00000001
0.559,0.00000007
0.495,0.00000036
0.59,0.00000011
0.581,0.00000007
0.549,0.00000008
0.54,0.00000012
0.502,0.00000035
0.55,0.00000012
0.511,0.00000006
0.515,0.00000006
0.583,0.00000004
0.576,0.0000001
0.549,0.00000004
0.466,-0.00000058
0.108,-0.00549053
0.481,0.00000033
0.581,0.00000003
0.476,0
0.541,0.0000001
0.52,0.00000175
0.572,0.00000014
0.574,0.00000018
0.568,0.00000608
0.592,0.00000021
0.529,0.0000001
0.624,0.00000352
0.568,0.0000001
0.481,0.00000017
0.518,0.00000003
0.108,-0.00498245
0.532,0.0000007
0.512,0.00000005
0.582,0.00000185
0.592,0.00000826
0.594,0.00000003
0.558,0.00000014
0.508,0.00000035
0.552,0.00000005
0.703,0.00039283
0.55,0.00000004
0.633,0.00000871
0.534,0.00000299
0.508,0.00000003
0.481,0.0000004
0.592,0.00000003
0.592,0.0000031
0.554,0.00000007
0.544,0.00000012
0.554,0.00000007
0.563,0.00000013
0.497,0.00000027
0.557,0.00000003
0.592,0.00000206
0.592,0.00000003
0.52,0.00000117
0.524,0.00000191
0.508,0.00000001
0.502,0.00000042
0.575,0.00000834
0.512,0.00000005
0.592,0.00000021
0.553,0.00000006
0.623,0.0000007
0.574,0.00000018
0.551,0.00000009
0.466,-0.00000049
0.628,0.00000674
0.593,0.00000076
0.591,0.00000008
0.549,0.00000008
0.579,0.00000018
0.574,0.00000018
0.587,0.00000003
0.549,0.00000005
0.515,0.00000006
0.592,0.00000021
0.551,0.00000006
0.541,0.00000009
0.544,0.00000002
0.517,0.00000072
0.587,0.00000003
0.541,0.0000001
0.549,0.0000008
0.543,0.00000107
0.576,0.00000422
0.556,0.00000003
0.481,0.0000003
0.544,0.00000002
0.511,0.00000006
0.551,0.00000009
0.531,0.00000002
0.364,-0.00086501
0.568,0.00000007
0.528,0.00000002
0.511,0.00000006
0.508,0.00000001
0.511,0.00000006
0.535,0.00000002
0.575,0.00000477
0.528,0.00000002
0.541,0.00000009
0.482,0.00000077
0.54,0.00000012
0.55,0.00000012
0.555,0.00000013
0.55,0.00000012
0.502,0.00000063
0.552,0.00000005
0.53,0.00000009
0.583,0.00000004
0.51,0.00000001
0.563,0.00000013
0.556,0.00000003
0.543,0.00000003
0.495,0.00000073
0.557,0.00000003
0.531,0.00000002
0.553,0.0000001
0.541,0.00000003
0.629,0.00002055
0.64,0.0000085
0.541,0.0000001
0.568,0.0000001
0.555,0.00000013
0.548,0.00000003
0.507,0.00000083
0.629,0.00000616
0.555,0.00000003
0.481,0.0000005
0.549,0.00000008
0.561,0.00000002
0.534,0.00000324
0.616,0.00000418
0.558,0.00000014
0.556,0.00000032
0.551,0.00000011
0.585,0.00000006
0.52,0.00000029
0.579,0.00000003
0.549,0.00000005
0.633,0.00000436
0.557,0.00000012
0.593,0.00000606
0.639,0.000003
0.509,0.00000006
0.552,0.00000005
0.539,0.00000006
0.964,0.00007891
0.479,0.00000023
0.581,0.00000007
0.547,0.00000011
0.574,0.00000018
0.558,0.00000014
0.638,0.00000252
0.548,0.00000002
0.557,0.00000012
0.594,0.00000002
0.58,0.00000004
0.571,0.00000004
0.508,0.00000002
0.549,0.00000004
0.592,0.00000021
0.541,0.0000001
0.492,0.00000205
0.536,0.0000001
0.576,0.0000001
0.592,0.00000007
0.568,0.00000012
0.569,0.00000002
0.569,0.00000006
0.551,0.00000009
0.594,0.00000002
0.491,0.00000223
0.517,0.00000179
0.589,0.00000401
0.593,0.00000151
0.522,0.00000004
0.577,0.00000019
0.585,0.00000015
0.55,0.00000011
0.55,0.0000044
0.582,0.00000215
0.589,0.00000201
0.594,0.00000003
0.523,0.00000055
0.628,0.00000539
0.633,0.00000218
0.562,0.00000013
0.559,0.00000007
0.531,0.00000286
0.629,0.00001028
0.639,0.0000045
0.508,0.00000002
0.556,0.00000233
0.556,0.00000175
0.595,0.00001256
0.517,0.00000001
0.547,0.00000011
0.592,0.00000021
0.573,0.00000014
0.512,0.00000062
0.534,0.00000002
0.547,0.00000011
0.536,0.0000001
0.558,0.00000006
0.472,-0.00000011
0.541,0.00000003
0.507,0.00000066
0.549,0.00000004
0.64,0.0000085
0.579,0.00000003
0.514,0.00000006
0.553,0.00000006
0.592,0.00000021
0.536,0.0000001
0.464,-0.00000089
0.54,0.00000012
0.466,-0.00000141
0.515,0.00000006
0.507,0.00000001
0.592,0.00000021
0.523,0.00000002
0.964,0.00149942
0.531,0.00000002
0.544,0.00000002
0.581,0.00000007
0.509,0.00000214
0.549,0.00000004
0.508,0.00000044
0.551,0.00000011
0.558,0.00000014
0.556,0.00000003
0.556,0.00000032
0.536,0.00000008
0.538,0.00000009
0.583,0.00000004
0.581,0.00000003
0.596,0.00000174
0.539,0.00000006
0.536,0.00000008
0.551,0.00000006
0.592,0.00000021
0.578,0.00000005
0.577,0.00000012
0.523,0.00000004
0.482,0.00000067
0.639,0.00000749
0.538,0.0000001
0.502,0.00000028
0.556,0.00000003
0.364,-0.00083511
0.544,0.00000012
0.531,0.00000002
0.534,0.00000867
0.531,0.00000286
0.571,0.00000004
0.552,0.00000005
0.576,0.0000001
0.528,0.0000001
0.587,0.00000009
0.479,0.00000017
0.549,0.00000008
0.64,0.0000034
0.554,0.00000007
0.624,0.00000132
0.546,0.00000002
0.578,0.00000005
0.508,0.00000001
0.565,0.00000013
