date,Close
1/10/2020,14473430
1/11/2020,567000
1/12/2020,22616190
1/13/2020,17162250
1/14/2020,29550650
1/15/2020,32304900
1/16/2020,110927200
1/17/2020,77064500
1/18/2020,36693300
1/19/2020,131223000
1/20/2020,566788200
1/21/2020,54094900
1/22/2020,54369600
1/23/2020,59219700
1/24/2020,18154500
1/25/2020,44552900
1/26/2020,121518800
1/27/2020,44074800
1/28/2020,139122500
1/29/2020,377527200
1/30/2020,30367700
1/31/2020,9032300
2/1/2020,158396800
2/2/2020,69841200
2/3/2020,132969800
2/4/2020,65691400
2/5/2020,10665000
2/6/2020,270589700
2/7/2020,45825500
2/8/2020,58183000
2/9/2020,216209000
2/10/2020,156377400
2/11/2020,107429100
2/12/2020,317047300
2/13/2020,27524400
2/14/2020,18411000
2/15/2020,195142600
2/16/2020,74705500
2/17/2020,38523500
2/18/2020,24998400
2/19/2020,237466600
2/20/2020,54334500
2/21/2020,40492800
2/22/2020,76550800
2/23/2020,55029000
2/24/2020,16270800
2/25/2020,3330000
2/26/2020,118643300
2/27/2020,56769500
2/28/2020,43398200
2/29/2020,8089400
3/1/2020,80790600
3/2/2020,218769300
3/3/2020,68479100
3/4/2020,107105500
3/5/2020,50584800
3/6/2020,220540400
3/7/2020,171783900
3/8/2020,135859200
3/9/2020,14040000
3/10/2020,261703600
3/11/2020,7601600
3/12/2020,165424200
3/13/2020,356977800
3/14/2020,341489100
3/15/2020,86016400
3/16/2020,293313600
3/17/2020,60798400
3/18/2020,286376100
3/19/2020,59292800
3/20/2020,80987600
3/21/2020,11970000
3/22/2020,142532200
3/23/2020,67679100
3/24/2020,94503100
3/25/2020,470063100
3/26/2020,103765500
3/27/2020,94473900
3/28/2020,169178100
3/29/2020,70876600
3/30/2020,261132300
3/31/2020,15795000
4/1/2020,15503400
4/2/2020,307942100
4/3/2020,312189400
4/4/2020,99949800
4/5/2020,162425400
4/6/2020,57268100
4/7/2020,315782900
4/8/2020,102027400
4/9/2020,296836300
4/10/2020,25914500
4/11/2020,21374700
4/12/2020,805800
4/13/2020,17140800
4/14/2020,47334000
4/15/2020,18231400
4/16/2020,103122500
4/17/2020,3870300
4/18/2020,253876000
4/19/2020,106067800
4/20/2020,104803900
4/21/2020,39984000
4/22/2020,412065800
4/23/2020,76896300
4/24/2020,11968500
4/25/2020,40286500
4/26/2020,38845100
4/27/2020,41228700
4/28/2020,123276800
4/29/2020,45476900
4/30/2020,33338700
5/1/2020,27834000
5/2/2020,23720400
5/3/2020,19740000
5/4/2020,12997500
5/5/2020,52284700
5/6/2020,96580100
5/7/2020,35292600
5/8/2020,55057200
5/9/2020,274706000
5/10/2020,48931200
5/11/2020,72420100
5/12/2020,114118600
5/13/2020,64255100
5/14/2020,53301000
5/15/2020,67635500
5/16/2020,76542200
5/17/2020,246549000
5/18/2020,141881600
5/19/2020,85668800
5/20/2020,6344100
5/21/2020,108040900
5/22/2020,73533500
5/23/2020,362997700
5/24/2020,22198000
5/25/2020,496054900
5/26/2020,9456300
5/27/2020,213089100
5/28/2020,119741000
5/29/2020,132045300
5/30/2020,82586900
5/31/2020,9855000
6/1/2020,102918700
6/2/2020,381233400
6/3/2020,104137300
6/4/2020,351636600
6/5/2020,15880800
6/6/2020,32969600
6/7/2020,51472400
6/8/2020,66245800
6/9/2020,16121500
6/10/2020,10836000
6/11/2020,53388500
6/12/2020,20919600
6/13/2020,481538500
6/14/2020,77511700
6/15/2020,42543500
6/16/2020,133862400
6/17/2020,205350400
6/18/2020,164105900
6/19/2020,102667800
6/20/2020,94826700
6/21/2020,193097700
6/22/2020,25142100
6/23/2020,27796900
6/24/2020,49466700
6/25/2020,20106200
6/26/2020,17755500
6/27/2020,5972400
6/28/2020,34011600
6/29/2020,57469800
6/30/2020,6383200
7/1/2020,144410400
7/2/2020,151472700
7/3/2020,52345800
7/4/2020,33146700
7/5/2020,37992500
7/6/2020,68274500
7/7/2020,6516300
7/8/2020,281352000
7/9/2020,42341200
7/10/2020,14683200
7/11/2020,53378300
7/12/2020,34111800
7/13/2020,91464400
7/14/2020,10094700
7/15/2020,68776100
7/16/2020,30915000
7/17/2020,9405000
7/18/2020,16769300
7/19/2020,47462100
7/20/2020,174678500
7/21/2020,14403900
7/22/2020,229734900
7/23/2020,95429400
7/24/2020,95950600
7/25/2020,295813200
7/26/2020,36051000
7/27/2020,94794800
7/28/2020,49548700
7/29/2020,149414900
7/30/2020,89813700
7/31/2020,21402600
8/1/2020,9045000
8/2/2020,17915100
8/3/2020,173790300
8/4/2020,38896500
8/5/2020,150595100
8/6/2020,215173000
8/7/2020,218326300
8/8/2020,162520500
8/9/2020,28887600
8/10/2020,221270100
8/11/2020,27266400
8/12/2020,37598000
8/13/2020,61652100
8/14/2020,89655200
8/15/2020,49845900
8/16/2020,178959200
8/17/2020,55903900
8/18/2020,80062100
8/19/2020,32703100
8/20/2020,150603900
8/21/2020,12404300
8/22/2020,116888300
8/23/2020,106860300
8/24/2020,136973000
8/25/2020,22137600
8/26/2020,15103200
8/27/2020,42027300
8/28/2020,13246800
8/29/2020,71457400
8/30/2020,130964900
8/31/2020,57695900
9/1/2020,266520100
9/2/2020,64206400
9/3/2020,352865200
9/4/2020,47922200
9/5/2020,90119500
9/6/2020,197695400
9/7/2020,199566300
9/8/2020,23354500
9/9/2020,14955400
9/10/2020,46562400
9/11/2020,2686000
9/12/2020,107867800
9/13/2020,167555600
9/14/2020,88012900
9/15/2020,72602900
9/16/2020,87957100
9/17/2020,34393100
9/18/2020,20310000
9/19/2020,87284500
9/20/2020,134579800
9/21/2020,17187300
9/22/2020,36844500
9/23/2020,30455000
9/24/2020,61579000
9/25/2020,163264700
9/26/2020,188088600
9/27/2020,84186400
9/28/2020,60192200
9/29/2020,12015000
9/30/2020,313168700
10/1/2020,44844400
10/2/2020,13191900
10/3/2020,131281900
10/4/2020,200561900
10/5/2020,92226400
10/6/2020,80963700
10/7/2020,150505600
10/8/2020,114105600
10/9/2020,256867400
10/10/2020,137071400
10/11/2020,79422300
10/12/2020,253386600
